timestamp,agent,agent_id,rule_id,level,groups,decoder,location,src_ip,mitre_ids,mitre_tactics,mitre_techniques,description,full_log,suspicious,suspicious_reason
2026-04-02T08:59:32.308+0000,WS10,005,92217,6,"sysmon, sysmon_eid11_detections, windows",windows_eventchannel,EventChannel,-,T1570,Lateral Movement,Lateral Tool Transfer,Executable dropped in Windows root folder,"{""win"":{""system"":{""providerName"":""Microsoft-Windows-Sysmon"",""providerGuid"":""{5770385f-c22a-43e0-bf4c-06f5698ffbd9}"",""eventID"":""11"",""version"":""2"",""level"":""4"",""task"":""11"",""opcode"":""0"",""keywords"":""0x8000000000000000"",""systemTime"":""2026-04-02T08:59:30.8085690Z"",""eventRecordID"":""501415"",""processID"":""7940"",""threadID"":""8064"",""channel"":""Microsoft-Windows-Sysmon/Operational"",""computer"":""WS10"",""severityValue"":""INFORMATION"",""message"":""\""File created:\r\nRuleName: DLL\r\nUtcTime: 2026-04-02 08:59:30.791\r\nProcessGuid: {d9a99926-2ff2-69ce-cc0f-000000000600}\r\nProcessId: 4328\r\nImage: C:\\Windows\\System32\\mousocoreworker.exe\r\nTargetFilename: C:\\Windows\\SoftwareDistribution\\Download\\0e81198876b8eb725cd93d1816536732\\Metadata\\wcp.dll\r\nCreationUtcTime: 2025-11-05 16:00:44.000\r\nUser: NT AUTHORITY\\SYSTEM\""""},""eventdata"":{""ruleName"":""DLL"",""utcTime"":""2026-04-02 08:59:30.791"",""processGuid"":""{d9a99926-2ff2-69ce-cc0f-000000000600}"",""processId"":""4328"",""image"":""C:\\\\Windows\\\\System32\\\\mousocoreworker.exe"",""targetFilename"":""C:\\\\Windows\\\\SoftwareDistribution\\\\Download\\\\0e81198876b8eb725cd93d1816536732\\\\Metadata\\\\wcp.dll"",""creationUtcTime"":""2025-11-05 16:00:44.000"",""user"":""NT AUTHORITY\\\\SYSTEM""}}}",True,"group:sysmon, group:windows, keyword:sysmon, level>=5, mitre"
2026-04-02T08:59:32.317+0000,WS10,005,92217,6,"sysmon, sysmon_eid11_detections, windows",windows_eventchannel,EventChannel,-,T1570,Lateral Movement,Lateral Tool Transfer,Executable dropped in Windows root folder,"{""win"":{""system"":{""providerName"":""Microsoft-Windows-Sysmon"",""providerGuid"":""{5770385f-c22a-43e0-bf4c-06f5698ffbd9}"",""eventID"":""11"",""version"":""2"",""level"":""4"",""task"":""11"",""opcode"":""0"",""keywords"":""0x8000000000000000"",""systemTime"":""2026-04-02T08:59:30.8418659Z"",""eventRecordID"":""501416"",""processID"":""7940"",""threadID"":""8064"",""channel"":""Microsoft-Windows-Sysmon/Operational"",""computer"":""WS10"",""severityValue"":""INFORMATION"",""message"":""\""File created:\r\nRuleName: DLL\r\nUtcTime: 2026-04-02 08:59:30.822\r\nProcessGuid: {d9a99926-2ff2-69ce-cc0f-000000000600}\r\nProcessId: 4328\r\nImage: C:\\Windows\\System32\\mousocoreworker.exe\r\nTargetFilename: C:\\Windows\\SoftwareDistribution\\Download\\0e81198876b8eb725cd93d1816536732\\Metadata\\TurboStack.dll\r\nCreationUtcTime: 2025-11-05 16:00:42.000\r\nUser: NT AUTHORITY\\SYSTEM\""""},""eventdata"":{""ruleName"":""DLL"",""utcTime"":""2026-04-02 08:59:30.822"",""processGuid"":""{d9a99926-2ff2-69ce-cc0f-000000000600}"",""processId"":""4328"",""image"":""C:\\\\Windows\\\\System32\\\\mousocoreworker.exe"",""targetFilename"":""C:\\\\Windows\\\\SoftwareDistribution\\\\Download\\\\0e81198876b8eb725cd93d1816536732\\\\Metadata\\\\TurboStack.dll"",""creationUtcTime"":""2025-11-05 16:00:42.000"",""user"":""NT AUTHORITY\\\\SYSTEM""}}}",True,"group:sysmon, group:windows, keyword:sysmon, level>=5, mitre"
2026-04-02T08:59:32.341+0000,WS10,005,92217,6,"sysmon, sysmon_eid11_detections, windows",windows_eventchannel,EventChannel,-,T1570,Lateral Movement,Lateral Tool Transfer,Executable dropped in Windows root folder,"{""win"":{""system"":{""providerName"":""Microsoft-Windows-Sysmon"",""providerGuid"":""{5770385f-c22a-43e0-bf4c-06f5698ffbd9}"",""eventID"":""11"",""version"":""2"",""level"":""4"",""task"":""11"",""opcode"":""0"",""keywords"":""0x8000000000000000"",""systemTime"":""2026-04-02T08:59:30.8461558Z"",""eventRecordID"":""501417"",""processID"":""7940"",""threadID"":""8064"",""channel"":""Microsoft-Windows-Sysmon/Operational"",""computer"":""WS10"",""severityValue"":""INFORMATION"",""message"":""\""File created:\r\nRuleName: DLL\r\nUtcTime: 2026-04-02 08:59:30.838\r\nProcessGuid: {d9a99926-2ff2-69ce-cc0f-000000000600}\r\nProcessId: 4328\r\nImage: C:\\Windows\\System32\\mousocoreworker.exe\r\nTargetFilename: C:\\Windows\\SoftwareDistribution\\Download\\0e81198876b8eb725cd93d1816536732\\Metadata\\ReserveManager.dll\r\nCreationUtcTime: 2025-11-05 16:00:42.000\r\nUser: NT AUTHORITY\\SYSTEM\""""},""eventdata"":{""ruleName"":""DLL"",""utcTime"":""2026-04-02 08:59:30.838"",""processGuid"":""{d9a99926-2ff2-69ce-cc0f-000000000600}"",""processId"":""4328"",""image"":""C:\\\\Windows\\\\System32\\\\mousocoreworker.exe"",""targetFilename"":""C:\\\\Windows\\\\SoftwareDistribution\\\\Download\\\\0e81198876b8eb725cd93d1816536732\\\\Metadata\\\\ReserveManager.dll"",""creationUtcTime"":""2025-11-05 16:00:42.000"",""user"":""NT AUTHORITY\\\\SYSTEM""}}}",True,"group:sysmon, group:windows, keyword:sysmon, level>=5, mitre"
2026-04-02T08:59:32.356+0000,WS10,005,92217,6,"sysmon, sysmon_eid11_detections, windows",windows_eventchannel,EventChannel,-,T1570,Lateral Movement,Lateral Tool Transfer,Executable dropped in Windows root folder,"{""win"":{""system"":{""providerName"":""Microsoft-Windows-Sysmon"",""providerGuid"":""{5770385f-c22a-43e0-bf4c-06f5698ffbd9}"",""eventID"":""11"",""version"":""2"",""level"":""4"",""task"":""11"",""opcode"":""0"",""keywords"":""0x8000000000000000"",""systemTime"":""2026-04-02T08:59:30.8461976Z"",""eventRecordID"":""501418"",""processID"":""7940"",""threadID"":""8064"",""channel"":""Microsoft-Windows-Sysmon/Operational"",""computer"":""WS10"",""severityValue"":""INFORMATION"",""message"":""\""File created:\r\nRuleName: DLL\r\nUtcTime: 2026-04-02 08:59:30.838\r\nProcessGuid: {d9a99926-2ff2-69ce-cc0f-000000000600}\r\nProcessId: 4328\r\nImage: C:\\Windows\\System32\\mousocoreworker.exe\r\nTargetFilename: C:\\Windows\\SoftwareDistribution\\Download\\0e81198876b8eb725cd93d1816536732\\Metadata\\WinREAgent.dll\r\nCreationUtcTime: 2025-11-05 16:00:42.000\r\nUser: NT AUTHORITY\\SYSTEM\""""},""eventdata"":{""ruleName"":""DLL"",""utcTime"":""2026-04-02 08:59:30.838"",""processGuid"":""{d9a99926-2ff2-69ce-cc0f-000000000600}"",""processId"":""4328"",""image"":""C:\\\\Windows\\\\System32\\\\mousocoreworker.exe"",""targetFilename"":""C:\\\\Windows\\\\SoftwareDistribution\\\\Download\\\\0e81198876b8eb725cd93d1816536732\\\\Metadata\\\\WinREAgent.dll"",""creationUtcTime"":""2025-11-05 16:00:42.000"",""user"":""NT AUTHORITY\\\\SYSTEM""}}}",True,"group:sysmon, group:windows, keyword:sysmon, level>=5, mitre"
2026-04-02T08:59:32.372+0000,WS10,005,92217,6,"sysmon, sysmon_eid11_detections, windows",windows_eventchannel,EventChannel,-,T1570,Lateral Movement,Lateral Tool Transfer,Executable dropped in Windows root folder,"{""win"":{""system"":{""providerName"":""Microsoft-Windows-Sysmon"",""providerGuid"":""{5770385f-c22a-43e0-bf4c-06f5698ffbd9}"",""eventID"":""11"",""version"":""2"",""level"":""4"",""task"":""11"",""opcode"":""0"",""keywords"":""0x8000000000000000"",""systemTime"":""2026-04-02T08:59:30.8547284Z"",""eventRecordID"":""501419"",""processID"":""7940"",""threadID"":""8064"",""channel"":""Microsoft-Windows-Sysmon/Operational"",""computer"":""WS10"",""severityValue"":""INFORMATION"",""message"":""\""File created:\r\nRuleName: DLL\r\nUtcTime: 2026-04-02 08:59:30.838\r\nProcessGuid: {d9a99926-2ff2-69ce-cc0f-000000000600}\r\nProcessId: 4328\r\nImage: C:\\Windows\\System32\\mousocoreworker.exe\r\nTargetFilename: C:\\Windows\\SoftwareDistribution\\Download\\0e81198876b8eb725cd93d1816536732\\Metadata\\fvereseal.dll\r\nCreationUtcTime: 2025-11-05 16:00:44.000\r\nUser: NT AUTHORITY\\SYSTEM\""""},""eventdata"":{""ruleName"":""DLL"",""utcTime"":""2026-04-02 08:59:30.838"",""processGuid"":""{d9a99926-2ff2-69ce-cc0f-000000000600}"",""processId"":""4328"",""image"":""C:\\\\Windows\\\\System32\\\\mousocoreworker.exe"",""targetFilename"":""C:\\\\Windows\\\\SoftwareDistribution\\\\Download\\\\0e81198876b8eb725cd93d1816536732\\\\Metadata\\\\fvereseal.dll"",""creationUtcTime"":""2025-11-05 16:00:44.000"",""user"":""NT AUTHORITY\\\\SYSTEM""}}}",True,"group:sysmon, group:windows, keyword:sysmon, level>=5, mitre"
2026-04-02T11:00:20.874+0000,wazuh-server,000,5501,3,"pam, syslog, authentication_success",pam,journald,-,T1078,"Defense Evasion, Persistence, Privilege Escalation, Initial Access",Valid Accounts,PAM: Login session opened.,Apr 02 11:00:20 wazuh-server sshd[43662]: pam_unix(sshd:session): session opened for user root(uid=0) by (uid=0),True,mitre
2026-04-02T11:00:20.874+0000,wazuh-server,000,5715,3,"syslog, sshd, authentication_success",sshd,journald,192.168.30.14,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services",sshd: authentication success.,Apr 02 11:00:20 wazuh-server sshd[43662]: Accepted password for root from 192.168.30.14 port 12623 ssh2,True,"mitre, srcip"
2026-04-02T11:03:48.933+0000,wazuh-server,000,5501,3,"pam, syslog, authentication_success",pam,journald,-,T1078,"Defense Evasion, Persistence, Privilege Escalation, Initial Access",Valid Accounts,PAM: Login session opened.,Apr 02 11:03:48 wazuh-server sshd[43699]: pam_unix(sshd:session): session opened for user root(uid=0) by (uid=0),True,mitre
2026-04-02T11:03:48.933+0000,wazuh-server,000,5501,3,"pam, syslog, authentication_success",pam,journald,-,T1078,"Defense Evasion, Persistence, Privilege Escalation, Initial Access",Valid Accounts,PAM: Login session opened.,Apr 02 11:03:48 wazuh-server sudo[43704]: pam_unix(sudo:session): session opened for user root(uid=0) by root(uid=0),True,mitre
2026-04-02T11:03:48.933+0000,wazuh-server,000,5402,3,"syslog, sudo",sudo,journald,-,T1548.003,"Privilege Escalation, Defense Evasion",Sudo and Sudo Caching,Successful sudo to ROOT executed.,Apr 02 11:03:48 wazuh-server sudo[43704]:     root : TTY=pts/0 ; PWD=/root ; USER=root ; COMMAND=/usr/bin/tail -n 0 -F /var/ossec/logs/alerts/alerts.json,True,mitre
