timestamp,agent,agent_id,rule_id,level,groups,decoder,location,description,full_log,suspicious,suspicious_reason,mitre_tactic,mitre_match,sysmon_event_id,sysmon_event_name,caldera_tag
2026-04-01T12:37:58.840+0000,caldera,008,52002,3,"local, syslog, apparmor",kernel,journald,Apparmor DENIED,"Apr 01 10:38:27 caldera kernel: audit: type=1400 audit(1775039907.432:1637): apparmor=""DENIED"" operation=""open"" class=""file"" profile=""snap.firefox.firefox"" name=""/proc/pressure/memory"" pid=5211 comm=""MemoryPoller"" requested_mask=""r"" denied_mask=""r"" fsuid=1000 ouid=0",True,"caldera:caldera, keyword:caldera",-,-,-,-,caldera
2026-04-01T12:40:01.468+0000,wazuh-server,000,5715,3,"syslog, sshd, authentication_success",sshd,journald,sshd: authentication success.,Apr 01 12:40:00 wazuh-server sshd[37786]: Accepted password for root from 192.168.30.14 port 51392 ssh2,False,,-,-,-,-,-
2026-04-01T12:40:01.468+0000,wazuh-server,000,5501,3,"pam, syslog, authentication_success",pam,journald,PAM: Login session opened.,Apr 01 12:40:00 wazuh-server (systemd)[37792]: pam_unix(systemd-user:session): session opened for user root(uid=0) by (uid=0),False,,-,-,-,-,-
2026-04-01T12:40:01.468+0000,wazuh-server,000,5501,3,"pam, syslog, authentication_success",pam,journald,PAM: Login session opened.,Apr 01 12:40:00 wazuh-server sshd[37786]: pam_unix(sshd:session): session opened for user root(uid=0) by (uid=0),False,,-,-,-,-,-
2026-04-01T12:40:04.903+0000,caldera,008,52002,3,"local, syslog, apparmor",kernel,journald,Apparmor DENIED,"Apr 01 10:40:32 caldera kernel: audit: type=1400 audit(1775040032.251:1660): apparmor=""DENIED"" operation=""open"" class=""file"" profile=""snap.firefox.firefox"" name=""/proc/pressure/memory"" pid=5211 comm=""MemoryPoller"" requested_mask=""r"" denied_mask=""r"" fsuid=1000 ouid=0",True,"caldera:caldera, keyword:caldera",-,-,-,-,caldera
2026-04-01T12:40:08.905+0000,caldera,008,52002,3,"local, syslog, apparmor",kernel,journald,Apparmor DENIED,"Apr 01 10:40:37 caldera kernel: audit: type=1400 audit(1775040037.378:1661): apparmor=""DENIED"" operation=""open"" class=""file"" profile=""snap.firefox.firefox"" name=""/proc/pressure/memory"" pid=5211 comm=""MemoryPoller"" requested_mask=""r"" denied_mask=""r"" fsuid=1000 ouid=0",True,"caldera:caldera, keyword:caldera",-,-,-,-,caldera
2026-04-01T12:40:28.916+0000,caldera,008,52002,3,"local, syslog, apparmor",kernel,journald,Apparmor DENIED,"Apr 01 10:40:56 caldera kernel: audit: type=1400 audit(1775040056.365:1662): apparmor=""DENIED"" operation=""open"" class=""file"" profile=""snap.firefox.firefox"" name=""/proc/pressure/memory"" pid=5211 comm=""MemoryPoller"" requested_mask=""r"" denied_mask=""r"" fsuid=1000 ouid=0",True,"caldera:caldera, keyword:caldera",-,-,-,-,caldera
2026-04-01T12:40:32.917+0000,caldera,008,52002,3,"local, syslog, apparmor",kernel,journald,Apparmor DENIED,"Apr 01 10:41:01 caldera kernel: audit: type=1400 audit(1775040061.367:1663): apparmor=""DENIED"" operation=""open"" class=""file"" profile=""snap.firefox.firefox"" name=""/proc/pressure/memory"" pid=5211 comm=""MemoryPoller"" requested_mask=""r"" denied_mask=""r"" fsuid=1000 ouid=0",True,"caldera:caldera, keyword:caldera",-,-,-,-,caldera
2026-04-01T12:40:37.220+0000,desktop-orla,004,60118,3,"windows, windows_security, authentication_success",windows_eventchannel,EventChannel,Windows Workstation Logon Success,"{""win"":{""system"":{""providerName"":""Microsoft-Windows-Security-Auditing"",""providerGuid"":""{54849625-5478-4994-a5ba-3e3b0328c30d}"",""eventID"":""4624"",""version"":""2"",""level"":""0"",""task"":""12544"",""opcode"":""0"",""keywords"":""0x8020000000000000"",""systemTime"":""2026-04-01T10:40:57.4312112Z"",""eventRecordID"":""17957"",""processID"":""692"",""threadID"":""8448"",""channel"":""Security"",""computer"":""desktop-orla"",""severityValue"":""AUDIT_SUCCESS"",""message"":""\""Accesso di un account riuscito.\r\n\r\nSoggetto:\r\n\tID sicurezza:\t\tS-1-5-18\r\n\tNome account:\t\tDESKTOP-ORLA$\r\n\tDominio account:\t\tWORKGROUP\r\n\tID accesso:\t\t0x3E7\r\n\r\nInformazioni di accesso:\r\n\tTipo di accesso:\t\t2\r\n\tModalità amministrativa limitata:\t-\r\n\tAccount virtuale:\t\tNo\r\n\tToken elevato:\t\tSì\r\n\r\nLivello rappresentazione:\t\tRappresentazione\r\n\r\nNuovo accesso:\r\n\tID sicurezza:\t\tS-1-5-21-2212786178-2830825557-2923496157-1001\r\n\tNome account:\t\tIO\r\n\tDominio account:\t\tDESKTOP-ORLA\r\n\tID accesso:\t\t0x2CA0264\r\n\tID accesso collegato:\t\t0x2CA0285\r\n\tNome account di rete:\t-\r\n\tDominio account di rete:\t-\r\n\tGUID accesso:\t\t{00000000-0000-0000-0000-000000000000}\r\n\r\nInformazioni sul processo:\r\n\tID processo:\t\t0x174\r\n\tNome processo:\t\tC:\\Windows\\System32\\svchost.exe\r\n\r\nInformazioni di rete:\r\n\tNome workstation:\tDESKTOP-ORLA\r\n\tIndirizzo rete di origine:\t127.0.0.1\r\n\tPorta di origine:\t\t0\r\n\r\nInformazioni di autenticazione dettagliate:\r\n\tProcesso di accesso:\t\tUser32 \r\n\tPacchetto di autenticazione:\tNegotiate\r\n\tServizi transitati:\t-\r\n\tNome pacchetto (solo NTLM):\t-\r\n\tLunghezza chiave:\t\t0\r\n\r\nQuesto evento viene generato quando viene creata una sessione di accesso. Viene generato nel computer in cui è stato effettuato l'accesso.\r\n\r\nIl campo Soggetto indica l'account nel sistema locale che ha richiesto l'accesso. Generalmente si tratta di un servizio, quale il servizio Server, o di un processo locale, ad esempio Winlogon.exe o Services.exe.\r\n\r\nIl campo Tipo di accesso indica il tipo di accesso che è stato effettuato. I tipi più comuni sono 2 (interattivo) e 3 (rete).\r\n\r\nIl campo Nuovo accesso indica l'account per il quale è stato creato il nuovo accesso, vale a dire l'account che ha effettuato l'accesso.\r\n\r\nIl campo Informazioni di rete indica l'origine della richiesta di accesso remota. Il nome della workstation non è sempre disponibile e può essere vuoto in alcuni casi.\r\n\r\nIl campo del livello di rappresentazione indica la portata della rappresentazione consentita a un processo nella sessione di accesso.\r\n\r\nIl campo Informazioni di autenticazione fornisce informazioni dettagliate sulla specifica richiesta di accesso.\r\n\t- GUID accesso è un identificatore univoco che può essere utilizzato per correlare questo evento a un evento KDC.\r\n\t- Servizi transitati indica quali servizi intermedi hanno partecipato alla richiesta di accesso.\r\n\t- Nome pacchetto indica quale sottoprotocollo dei protocolli NTLM è stato utilizzato.\r\n\t- Lunghezza chiave indica la lunghezza della chiave di sessione generata. Se non è stata richiesta alcuna chiave di sessione, la lunghezza sarà 0.\""""},""eventdata"":{""subjectUserSid"":""S-1-5-18"",""subjectUserName"":""DESKTOP-ORLA$"",""subjectDomainName"":""WORKGROUP"",""subjectLogonId"":""0x3e7"",""targetUserSid"":""S-1-5-21-2212786178-2830825557-2923496157-1001"",""targetUserName"":""IO"",""targetDomainName"":""DESKTOP-ORLA"",""targetLogonId"":""0x2ca0264"",""logonType"":""2"",""logonProcessName"":""User32"",""authenticationPackageName"":""Negotiate"",""workstationName"":""DESKTOP-ORLA"",""logonGuid"":""{00000000-0000-0000-0000-000000000000}"",""keyLength"":""0"",""processId"":""0x174"",""processName"":""C:\\\\Windows\\\\System32\\\\svchost.exe"",""ipAddress"":""127.0.0.1"",""ipPort"":""0"",""impersonationLevel"":""%%1833"",""virtualAccount"":""%%1843"",""targetLinkedLogonId"":""0x2ca0285"",""elevatedToken"":""%%1842""}}}",True,group:windows,-,-,-,-,-
2026-04-01T12:40:37.236+0000,desktop-orla,004,60118,3,"windows, windows_security, authentication_success",windows_eventchannel,EventChannel,Windows Workstation Logon Success,"{""win"":{""system"":{""providerName"":""Microsoft-Windows-Security-Auditing"",""providerGuid"":""{54849625-5478-4994-a5ba-3e3b0328c30d}"",""eventID"":""4624"",""version"":""2"",""level"":""0"",""task"":""12544"",""opcode"":""0"",""keywords"":""0x8020000000000000"",""systemTime"":""2026-04-01T10:40:57.4312222Z"",""eventRecordID"":""17958"",""processID"":""692"",""threadID"":""8448"",""channel"":""Security"",""computer"":""desktop-orla"",""severityValue"":""AUDIT_SUCCESS"",""message"":""\""Accesso di un account riuscito.\r\n\r\nSoggetto:\r\n\tID sicurezza:\t\tS-1-5-18\r\n\tNome account:\t\tDESKTOP-ORLA$\r\n\tDominio account:\t\tWORKGROUP\r\n\tID accesso:\t\t0x3E7\r\n\r\nInformazioni di accesso:\r\n\tTipo di accesso:\t\t2\r\n\tModalità amministrativa limitata:\t-\r\n\tAccount virtuale:\t\tNo\r\n\tToken elevato:\t\tNo\r\n\r\nLivello rappresentazione:\t\tRappresentazione\r\n\r\nNuovo accesso:\r\n\tID sicurezza:\t\tS-1-5-21-2212786178-2830825557-2923496157-1001\r\n\tNome account:\t\tIO\r\n\tDominio account:\t\tDESKTOP-ORLA\r\n\tID accesso:\t\t0x2CA0285\r\n\tID accesso collegato:\t\t0x2CA0264\r\n\tNome account di rete:\t-\r\n\tDominio account di rete:\t-\r\n\tGUID accesso:\t\t{00000000-0000-0000-0000-000000000000}\r\n\r\nInformazioni sul processo:\r\n\tID processo:\t\t0x174\r\n\tNome processo:\t\tC:\\Windows\\System32\\svchost.exe\r\n\r\nInformazioni di rete:\r\n\tNome workstation:\tDESKTOP-ORLA\r\n\tIndirizzo rete di origine:\t127.0.0.1\r\n\tPorta di origine:\t\t0\r\n\r\nInformazioni di autenticazione dettagliate:\r\n\tProcesso di accesso:\t\tUser32 \r\n\tPacchetto di autenticazione:\tNegotiate\r\n\tServizi transitati:\t-\r\n\tNome pacchetto (solo NTLM):\t-\r\n\tLunghezza chiave:\t\t0\r\n\r\nQuesto evento viene generato quando viene creata una sessione di accesso. Viene generato nel computer in cui è stato effettuato l'accesso.\r\n\r\nIl campo Soggetto indica l'account nel sistema locale che ha richiesto l'accesso. Generalmente si tratta di un servizio, quale il servizio Server, o di un processo locale, ad esempio Winlogon.exe o Services.exe.\r\n\r\nIl campo Tipo di accesso indica il tipo di accesso che è stato effettuato. I tipi più comuni sono 2 (interattivo) e 3 (rete).\r\n\r\nIl campo Nuovo accesso indica l'account per il quale è stato creato il nuovo accesso, vale a dire l'account che ha effettuato l'accesso.\r\n\r\nIl campo Informazioni di rete indica l'origine della richiesta di accesso remota. Il nome della workstation non è sempre disponibile e può essere vuoto in alcuni casi.\r\n\r\nIl campo del livello di rappresentazione indica la portata della rappresentazione consentita a un processo nella sessione di accesso.\r\n\r\nIl campo Informazioni di autenticazione fornisce informazioni dettagliate sulla specifica richiesta di accesso.\r\n\t- GUID accesso è un identificatore univoco che può essere utilizzato per correlare questo evento a un evento KDC.\r\n\t- Servizi transitati indica quali servizi intermedi hanno partecipato alla richiesta di accesso.\r\n\t- Nome pacchetto indica quale sottoprotocollo dei protocolli NTLM è stato utilizzato.\r\n\t- Lunghezza chiave indica la lunghezza della chiave di sessione generata. Se non è stata richiesta alcuna chiave di sessione, la lunghezza sarà 0.\""""},""eventdata"":{""subjectUserSid"":""S-1-5-18"",""subjectUserName"":""DESKTOP-ORLA$"",""subjectDomainName"":""WORKGROUP"",""subjectLogonId"":""0x3e7"",""targetUserSid"":""S-1-5-21-2212786178-2830825557-2923496157-1001"",""targetUserName"":""IO"",""targetDomainName"":""DESKTOP-ORLA"",""targetLogonId"":""0x2ca0285"",""logonType"":""2"",""logonProcessName"":""User32"",""authenticationPackageName"":""Negotiate"",""workstationName"":""DESKTOP-ORLA"",""logonGuid"":""{00000000-0000-0000-0000-000000000000}"",""keyLength"":""0"",""processId"":""0x174"",""processName"":""C:\\\\Windows\\\\System32\\\\svchost.exe"",""ipAddress"":""127.0.0.1"",""ipPort"":""0"",""impersonationLevel"":""%%1833"",""virtualAccount"":""%%1843"",""targetLinkedLogonId"":""0x2ca0264"",""elevatedToken"":""%%1843""}}}",True,group:windows,-,-,-,-,-
