timestamp,agent,agent_id,rule_id,level,groups,decoder,location,src_ip,mitre_ids,mitre_tactics,mitre_techniques,description,full_log,suspicious,suspicious_reason
2026-04-02T11:58:57.500+0000,wazuh-server,000,5715,3,"syslog, sshd, authentication_success",sshd,journald,192.168.30.14,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services",sshd: authentication success.,Apr 02 11:58:56 wazuh-server sshd[44128]: Accepted password for root from 192.168.30.14 port 13207 ssh2,True,"mitre, srcip"
2026-04-02T11:58:57.500+0000,wazuh-server,000,5501,3,"pam, syslog, authentication_success",pam,journald,-,T1078,"Defense Evasion, Persistence, Privilege Escalation, Initial Access",Valid Accounts,PAM: Login session opened.,Apr 02 11:58:56 wazuh-server sshd[44128]: pam_unix(sshd:session): session opened for user root(uid=0) by (uid=0),True,mitre
2026-04-02T11:58:57.500+0000,wazuh-server,000,5501,3,"pam, syslog, authentication_success",pam,journald,-,T1078,"Defense Evasion, Persistence, Privilege Escalation, Initial Access",Valid Accounts,PAM: Login session opened.,Apr 02 11:58:56 wazuh-server (systemd)[44133]: pam_unix(systemd-user:session): session opened for user root(uid=0) by (uid=0),True,mitre
